,Unnamed: 0,time,median_100_200Hz,avg_100_200Hz,median_400_600Hz,avg_400_600Hz,median_800_1000Hz,avg_800_1000Hz,median_1000_1200Hz,avg_1000_1200Hz,median_1600_1800Hz,avg_1600_1800Hz,median_2000_2600Hz,avg_2000_2600Hz,median_3000_4000Hz,avg_3000_4000Hz
0,0,2023-06-03 00:15:00,-9.334697762904153,-9.106656071082902,-9.433813460174346,-9.053601406643311,-8.517827861623125,-8.346030381612827,-8.82509486185274,-8.651235737306362,-9.574760505054568,-9.392304403350405,-10.686567422110668,-10.3944975520104,-11.392568381462008,-11.18052612642593
1,1,2023-06-03 00:45:00,-9.7838192640523,-9.547871886458587,-9.44643717243818,-9.079534571694795,-8.524238399098877,-8.35448942940553,-8.826524568772655,-8.660921800672861,-9.621846108799778,-9.437563167991476,-10.7097917205662,-10.414570747159535,-11.396447849508874,-11.189247707073491
2,2,2023-06-03 01:15:00,-9.97301457451874,-9.745952471582507,-9.44643717243818,-9.079534571694795,-8.524238399098877,-8.35448942940553,-8.83145588454214,-8.662918626371695,-9.773333271548127,-9.575773598397358,-10.73301564090037,-10.440992679779193,-11.408291374649345,-11.193827185610436
3,3,2023-06-03 01:45:00,-10.046284282942247,-9.825649446597716,-9.44643717243818,-9.09747829494554,-8.524238399098877,-8.35448942940553,-8.83145588454214,-8.662918626371695,-9.783872899821546,-9.57794905638652,-10.736637650952812,-10.462545637181911,-11.408303780676452,-11.195370004071544
4,4,2023-06-03 02:15:00,-10.046284282942247,-9.825649446597716,-9.44643717243818,-9.09747829494554,-8.524238399098877,-8.35448942940553,-8.826524568772655,-8.662918626371695,-9.833114027976466,-9.640338766663405,-10.751219059597195,-10.475183853353071,-11.409012989139503,-11.198726653769276
5,5,2023-06-03 02:45:00,-10.118232659508491,-9.89628236514352,-9.446741451520596,-9.1113233317473,-8.524238399098877,-8.350964735708116,-8.827264249885259,-8.651235737306362,-9.920959138301615,-9.73208111835902,-10.76527852055118,-10.521504394708671,-11.409012989139503,-11.198726653769276
6,6,2023-06-03 03:15:00,-10.008292697640892,-9.796521848885725,-9.451735756357886,-9.119226060791366,-8.524238399098877,-8.350964735708116,-8.82509486185274,-8.646796871820307,-9.944541976608804,-9.758434629055332,-10.7668309770723,-10.528936663708455,-11.41308661958211,-11.200542768634971
7,7,2023-06-03 03:45:00,-10.118232659508491,-9.89628236514352,-9.451735756357886,-9.128368662092972,-8.510951265737058,-8.348946834125016,-8.827264249885259,-8.644519841669597,-10.01398165226717,-9.829605101725711,-10.81124925235416,-10.558116843690248,-11.414749742542352,-11.204596710494606
8,8,2023-06-03 04:15:00,-10.19370662343989,-9.977323707977304,-9.454165371133053,-9.162715668301846,-8.510951265737058,-8.348946834125016,-8.827264249885259,-8.644519841669597,-10.022157514404489,-9.829605101725711,-10.833220746899167,-10.576620278277852,-11.436204229463492,-11.22119630413395
9,9,2023-06-03 04:45:00,-10.19370662343989,-9.977323707977304,-9.460214643885005,-9.162715668301846,-8.510951265737058,-8.348946834125016,-8.811378974221222,-8.625457634404626,-10.02584173628118,-9.83344001016977,-10.84051393270272,-10.59455266466265,-11.445667140351317,-11.237179581112304
